"id","cate_id","food_name","alias_name","english_name","edible_part","water","energy","protein","fat","cholesterol","ash","carbohydrate","dietary_fiber","carotene","vitamin_a","vitamin_e","thiamin","riboflavin","niacin","vitamin_c","calcium","phosphorus","potassium","sodium","magnesium","iron","zinc","selenium","copper","manganese","iodine","sfa","mufa","pufa","fatty_acids_total"
"259","30","小麦粉(标准粉)","","","100%","12.7g","1497kJ","11.2g","1.5g","","1.0g","73.6g","","","","—","0.28mg","0.08mg","2.00mg","","31mg","188mg","190mg","3.1mg","50mg","3.5mg","1.64mg","5.40μg","0.42mg","1.56mg","","30.3%","24.1%","44.8%","99.2%"
"260","30","小麦粉(富强粉，特一粉)","","","100%","12.7g","1494kJ","10.3g","1.1g","","0.7g","75.2g","","","","—","0.17mg","0.06mg","2.00mg","","27mg","114mg","128mg","2.7mg","32mg","2.7mg","0.97mg","6.90μg","0.26mg","0.77mg","","30.3%","24.1%","44.8%","99.2%"
"261","30","挂面(均值)","","","100%","12.3g","1483kJ","10.3g","0.6g","","1.2g","75.6g","","","","—","0.19mg","0.04mg","2.50mg","","17mg","134mg","129mg","184.5mg","49mg","3.0mg","0.94mg","11.80μg","0.39mg","0.92mg","","—","—","—","—"
"262","30","挂面(标准粉)","","","100%","12.4g","1490kJ","10.1g","0.7g","","0.8g","76.0g","","","","—","0.19mg","0.04mg","2.50mg","","14mg","153mg","157mg","150.0mg","51mg","3.5mg","1.22mg","9.90μg","0.44mg","1.28mg","","30.3%","24.1%","44.8%","99.2%"
"263","30","挂面(富强粉)","","","100%","12.7g","1477kJ","9.6g","0.6g","","1.1g","76.0g","","","","—","0.20mg","0.04mg","2.40mg","","21mg","112mg","122mg","110.6mg","48mg","3.2mg","0.74mg","11.10μg","0.40mg","0.68mg","","30.3%","24.1%","44.8%","99.2%"
"264","30","面条(均值)","","","100%","28.5g","1219kJ","8.3g","0.7g","","0.6g","61.9g","","","","—","0.22mg","0.07mg","1.40mg","","11mg","162mg","135mg","28.0mg","39mg","3.6mg","1.43mg","11.70μg","0.17mg","0.86mg","","—","—","—","—"
"265","30","面条(标准粉，切面)","","","100%","29.7g","1215kJ","8.5g","1.6g","","0.7g","59.5g","","","","—","0.35mg","0.10mg","3.10mg","","13mg","142mg","161mg","3.4mg","61mg","2.6mg","1.07mg","0.40μg","0.20mg","1.35mg","","—","—","—","—"
"266","30","面条(富强粉，切面)","","","100%","29.2g","1217kJ","9.3g","1.1g","","0.5g","59.9g","","","","—","0.18mg","0.04mg","2.20mg","","24mg","92mg","102mg","1.5mg","29mg","2.0mg","0.83mg","17.30μg","0.14mg","0.56mg","","—","—","—","—"
"267","30","面条(干切面)","","","100%","10.5g","1512kJ","11.0g","0.1g","","0.7g","77.7g","","","","—","0.28mg","0.05mg","2.70mg","","8mg","142mg","100mg","60.9mg","42mg","9.6mg","1.50mg","7.80μg","0.22mg","0.72mg","","—","—","—","—"
"268","30","通心面[通心粉]","","","100%","11.8g","1495kJ","11.9g","0.1g","","0.4g","75.8g","","","","—","0.12mg","0.03mg","1.00mg","","14mg","97mg","209mg","35.0mg","58mg","2.6mg","1.55mg","5.80μg","0.16mg","0.67mg","","—","—","—","—"
"269","30","花卷","","","100%","45.7g","921kJ","6.4g","1.0g","","1.3g","45.6g","","","","—","","0.02mg","1.10mg","","19mg","72mg","83mg","95.0mg","12mg","0.4mg","","6.20μg","0.09mg","","","—","—","—","—"
"270","30","空锅饼","","","100%","29.4g","1189kJ","8.6g","0.2g","","0.9g","60.9g","","","","—","0.14mg","","0.00mg","","2mg","133mg","138mg","243.2mg","30mg","5.8mg","1.73mg","24.20μg","0.13mg","0.78mg","","—","—","—","—"
"271","30","烙饼(标准粉)","","","100%","36.4g","1112kJ","7.5g","2.3g","","0.9g","52.9g","","","","—","0.02mg","0.04mg","","","20mg","146mg","141mg","149.3mg","51mg","2.4mg","0.94mg","7.50μg","0.15mg","1.15mg","","—","—","—","—"
"272","30","馒头(均值)","","","100%","43.9g","959kJ","7.0g","1.1g","","1.0g","47.0g","","","","—","0.04mg","0.05mg","","","38mg","107mg","138mg","165.1mg","30mg","1.8mg","0.71mg","8.40μg","0.10mg","0.78mg","","—","—","—","—"
"273","30","馒头(标准粉)","","","100%","40.5g","1016kJ","7.8g","1.0g","","0.9g","49.8g","","","","—","0.05mg","0.07mg","","","18mg","136mg","129mg","165.2mg","39mg","1.9mg","1.01mg","9.70μg","0.14mg","1.27mg","","—","—","—","—"
"274","30","馒头(富强粉)","","","100%","47.3g","901kJ","6.2g","1.2g","","1.1g","44.2g","","","","—","0.02mg","0.02mg","","","58mg","78mg","146mg","165.0mg","20mg","1.7mg","0.40mg","7.20μg","0.05mg","0.29mg","","—","—","—","—"
"275","30","烧饼(加糖)","","","100%","25.9g","1280kJ","8.0g","2.1g","","1.3g","62.7g","","","","—","","0.01mg","1.10mg","","51mg","105mg","122mg","62.5mg","26mg","1.6mg","0.36mg","12.20μg","0.15mg","","","—","—","—","—"
"276","30","油饼","","","100%","24.8g","1702kJ","7.9g","22.9g","","2.0g","42.4g","","","","—","0.11mg","0.05mg","","","46mg","124mg","106mg","572.5mg","13mg","2.3mg","0.97mg","10.60μg","0.27mg","0.71mg","","—","—","—","—"
"277","30","油条","","","100%","21.8g","1636kJ","6.9g","17.6g","","2.7g","51.0g","","","","—","0.01mg","0.07mg","0.70mg","","6mg","77mg","227mg","585.2mg","19mg","1.0mg","0.75mg","8.60μg","0.19mg","0.52mg","","4.1%","63.8%","19.0%","88.4%"
"278","30","水面筋","","","100%","63.5g","612kJ","23.5g","0.1g","","0.6g","12.3g","","","","—","0.10mg","0.07mg","1.10mg","","76mg","133mg","69mg","15.0mg","26mg","4.2mg","1.76mg","1.00μg","0.19mg","0.86mg","","—","—","—","—"
"279","30","油面筋","","","100%","7.1g","2073kJ","26.9g","25.1g","","0.5g","40.4g","","","","—","0.03mg","0.05mg","2.20mg","","29mg","98mg","45mg","29.5mg","40mg","2.5mg","2.29mg","22.80μg","0.50mg","1.28mg","","27.7%","18.3%","54.0%","100.0%"
"280","31","稻米(均值)","","","100%","13.3g","1480kJ","7.4g","0.8g","","0.6g","77.9g","","","","—","0.11mg","0.05mg","1.90mg","","13mg","110mg","103mg","3.8mg","34mg","2.3mg","1.70mg","2.20μg","0.30mg","1.29mg","","—","—","—","—"
"281","31","粳米(标一)","","","100%","13.7g","1469kJ","7.7g","0.6g","","0.6g","77.4g","","","","—","0.16mg","0.08mg","1.30mg","","11mg","121mg","97mg","2.4mg","34mg","1.1mg","1.45mg","2.50μg","0.19mg","1.36mg","","—","—","—","—"
"282","31","籼米(标准)[机米]","","","100%","12.6g","1488kJ","7.9g","0.6g","","0.6g","78.3g","","","","—","0.09mg","0.04mg","1.40mg","","12mg","112mg","109mg","1.7mg","28mg","1.6mg","1.47mg","2.00μg","0.29mg","1.27mg","","26.2%","39.4%","33.1%","98.7%"
"283","31","香大米","","","100%","12.9g","1480kJ","12.7g","0.9g","","1.1g","72.4g","","","","—","","0.08mg","2.60mg","","8mg","106mg","49mg","21.5mg","12mg","5.1mg","0.69mg","4.60μg","0.52mg","1.75mg","","—","—","—","—"
"284","31","籼米","","","100%","13.1g","1441kJ","7.5g","1.1g","—","0.3g","78.0g","5.90g","0.0μg","0.0μg","0.00mg","0.07mg","0.02mg","0.94mg","0.0mg","12mg","112mg","109mg","1.7mg","28mg","0.1mg","0.15mg","2.80μg","0.01mg","0.02mg","Tr","36.2%","22.6%","39.6%","98.4%"
"285","31","糯米[江米](均值)","","","100%","12.6g","1492kJ","7.3g","1.0g","","0.8g","78.3g","","","","—","0.11mg","0.04mg","2.30mg","","26mg","113mg","137mg","1.5mg","49mg","1.4mg","1.54mg","2.70μg","0.25mg","1.54mg","","—","—","—","—"
"286","31","紫红糯米[血糯米]","","","100%","13.8g","1481kJ","8.3g","1.7g","","1.1g","75.1g","","","","—","0.31mg","0.12mg","4.20mg","","13mg","183mg","219mg","4.0mg","16mg","3.9mg","2.16mg","2.90μg","0.29mg","2.37mg","","—","—","—","—"
"287","31","米饭(蒸)(均值)","","","100%","70.9g","496kJ","2.6g","0.3g","","0.3g","25.9g","","","","—","0.02mg","0.03mg","1.90mg","","7mg","62mg","30mg","2.5mg","15mg","1.3mg","0.92mg","0.40μg","0.06mg","0.58mg","","—","—","—","—"
"288","31","粳米粥","","","100%","88.6g","198kJ","1.1g","0.3g","—","0.1g","9.9g","—","","","—","","0.03mg","0.20mg","","7mg","20mg","13mg","2.8mg","7mg","0.1mg","0.20mg","0.20μg","0.03mg","0.20mg","","—","—","—","—"
"289","31","籼米粉[排米粉]","","","100%","10.7g","1515kJ","7.4g","0.1g","","0.3g","81.5g","","","","—","0.02mg","0.02mg","0.60mg","","6mg","62mg","14mg","16.3mg","16mg","3.2mg","0.80mg","7.50μg","0.30mg","0.60mg","","—","—","—","—"
"290","31","籼米粉(干，细)","","","100%","12.3g","1471kJ","8.0g","0.1g","","1.3g","78.3g","","","","—","0.03mg","","0.20mg","","","53mg","43mg","5.9mg","23mg","1.4mg","2.27mg","3.40μg","0.09mg","0.63mg","","—","—","—","—"
"291","31","籼米粥","","","100%","85.0g","251kJ","1.3g","0.2g","—","0.1g","13.4g","0.70g","0.0μg","0.0μg","0.00mg","Tr","Tr","—","0.0mg","7mg","20mg","13mg","2.8mg","7mg","0.1mg","0.12mg","0.70μg","0.01mg","0.01mg","Tr","39.3%","21.7%","38.9%","99.9%"
"292","32","玉米(鲜)","","","46%","71.3g","500kJ","4.0g","1.2g","","0.7g","22.8g","","","","—","0.16mg","0.11mg","1.80mg","16.0mg","","117mg","238mg","1.1mg","32mg","1.1mg","0.90mg","1.60μg","0.09mg","0.22mg","","—","—","—","—"
"293","32","玉米(白，干)","","","100%","11.7g","1560kJ","8.8g","3.8g","","1.0g","74.7g","","","","—","0.27mg","0.07mg","2.30mg","","10mg","244mg","262mg","2.5mg","95mg","2.2mg","1.85mg","4.10μg","0.26mg","0.51mg","","—","—","—","—"
"294","32","玉米(黄，干)","","","100%","13.2g","1530kJ","8.7g","3.8g","","1.3g","73.0g","","100.0μg","","—","0.21mg","0.13mg","2.50mg","","14mg","218mg","300mg","3.3mg","96mg","2.4mg","1.70mg","3.50μg","0.25mg","0.48mg","","—","—","—","—"
"295","32","玉米面(白)","","","100%","13.4g","1545kJ","8.0g","4.5g","","1.0g","73.1g","","","","—","0.34mg","0.06mg","3.00mg","","12mg","187mg","276mg","0.5mg","111mg","1.3mg","1.22mg","1.60μg","0.23mg","0.40mg","","15.3%","28.4%","56.3%","100.0%"
"296","32","玉米面(黄)","","","100%","12.1g","1538kJ","8.1g","3.3g","","1.3g","75.2g","","40.0μg","","—","0.26mg","0.09mg","2.30mg","","22mg","196mg","249mg","2.3mg","84mg","3.2mg","1.42mg","2.50μg","0.35mg","0.47mg","","—","—","—","—"
"297","32","玉米糁(黄)","","","100%","12.8g","1530kJ","7.9g","3.0g","","0.7g","75.6g","","","","—","0.10mg","0.08mg","1.20mg","","49mg","143mg","177mg","1.7mg","151mg","2.4mg","1.16mg","4.90μg","0.16mg","0.22mg","","—","—","—","—"
"298","32","玉米笋(罐头)","","","100%","93.0g","101kJ","1.1g","0.2g","","1.3g","4.4g","","40.0μg","","—","","","","","6mg","4mg","36mg","170.9mg","","0.1mg","0.33mg","0.80μg","0.02mg","0.12mg","","—","—","—","—"
"299","33","大麦[元麦]","","","100%","13.1g","1471kJ","10.2g","1.4g","","2.0g","73.3g","","","","—","0.43mg","0.14mg","3.90mg","","66mg","381mg","49mg","","158mg","6.4mg","4.36mg","9.80μg","0.63mg","1.23mg","","—","—","—","—"
"300","33","青稞","","","100%","12.4g","1468kJ","8.1g","1.5g","","3.0g","75.0g","","","","—","0.34mg","0.11mg","6.70mg","","113mg","405mg","644mg","77.0mg","65mg","40.7mg","2.38mg","4.60μg","5.13mg","2.08mg","","—","—","—","—"
"301","34","小米","","","100%","11.6g","1544kJ","9.0g","3.1g","","1.2g","75.1g","","100.0μg","","—","0.33mg","0.10mg","1.50mg","","41mg","229mg","284mg","4.3mg","107mg","5.1mg","1.87mg","4.70μg","0.54mg","0.89mg","","—","—","—","—"
"302","34","小米面","","","100%","11.8g","1521kJ","7.2g","2.1g","","1.2g","77.7g","","","","—","0.13mg","0.08mg","2.50mg","","40mg","159mg","129mg","6.2mg","57mg","6.1mg","1.18mg","2.80μg","0.32mg","0.55mg","","35.6%","14.6%","49.8%","100.0%"
"303","34","小米粥","","","100%","89.3g","193kJ","1.4g","0.7g","","0.2g","8.4g","","","","—","0.02mg","0.07mg","0.90mg","","10mg","32mg","19mg","4.1mg","22mg","1.0mg","0.41mg","0.30μg","0.07mg","0.16mg","","—","—","—","—"
"304","34","大黄米[黍子]","","","100%","11.3g","1540kJ","13.6g","2.7g","","1.3g","71.1g","","","","—","0.30mg","0.09mg","1.40mg","","30mg","244mg","201mg","1.7mg","116mg","5.7mg","3.05mg","2.30μg","0.57mg","1.50mg","","—","—","—","—"
"305","34","黄米","","","100%","11.1g","1528kJ","9.7g","1.5g","","0.8g","76.9g","","","","—","0.09mg","0.13mg","1.30mg","","","","","3.3mg","","","2.07mg","","0.90mg","0.23mg","","—","—","—","—"
"306","35","高粱米","","","100%","10.3g","1561kJ","10.4g","3.1g","","1.5g","74.7g","","","","—","0.29mg","0.10mg","1.60mg","","22mg","329mg","281mg","6.3mg","129mg","6.3mg","1.64mg","2.80μg","0.53mg","1.22mg","","—","—","—","—"
"307","35","糜子(带皮)","","","100%","9.4g","1479kJ","10.6g","0.6g","","4.3g","75.1g","","","","—","0.45mg","0.18mg","1.20mg","","99mg","205mg","148mg","9.6mg","146mg","5.0mg","2.07mg","12.00μg","0.61mg","1.10mg","","—","—","—","—"
"308","35","苦荞麦粉","","","100%","19.3g","1387kJ","9.7g","2.7g","","2.3g","66.0g","","","","—","0.32mg","0.21mg","1.50mg","","39mg","244mg","320mg","2.3mg","94mg","4.4mg","2.02mg","5.60μg","0.89mg","1.31mg","","—","—","—","—"
"309","35","荞麦","","","100%","13.0g","1484kJ","9.3g","2.3g","","2.4g","73.0g","","20.0μg","","—","0.28mg","0.16mg","2.20mg","","47mg","297mg","401mg","4.7mg","258mg","6.2mg","3.62mg","2.40μg","0.56mg","2.04mg","","33.2%","51.6%","14.6%","99.4%"
"310","35","莜麦面","","","100%","11.0g","1626kJ","12.2g","7.2g","","1.8g","67.8g","","20.0μg","","—","0.39mg","0.04mg","3.90mg","","27mg","35mg","319mg","2.2mg","146mg","13.6mg","2.21mg","0.50μg","0.89mg","3.86mg","","—","—","—","—"
"311","35","薏米[薏仁米，苡米]","","","100%","11.2g","1548kJ","12.8g","3.3g","","1.6g","71.1g","","","","—","0.22mg","0.15mg","2.00mg","","42mg","217mg","238mg","3.6mg","88mg","3.6mg","1.68mg","3.10μg","0.29mg","1.37mg","","—","—","—","—"
"312","35","薏米面","","","100%","10.9g","1530kJ","11.3g","2.4g","","1.9g","73.5g","","","","—","0.07mg","0.14mg","2.40mg","","42mg","134mg","163mg","2.3mg","50mg","7.4mg","1.39mg","3.10μg","0.26mg","1.51mg","","—","—","—","—"
"313","36","马铃薯[土豆，洋芋]","","","94%","79.8g","334kJ","2.0g","0.2g","","0.8g","17.2g","","30.0μg","","—","0.08mg","0.04mg","1.10mg","27.0mg","8mg","40mg","342mg","2.7mg","23mg","0.8mg","0.37mg","0.80μg","0.12mg","0.14mg","","—","—","—","—"
"314","36","马铃薯粉","","","100%","12.0g","1457kJ","7.2g","0.5g","","2.9g","77.4g","","120.0μg","","—","0.08mg","0.06mg","5.10mg","","171mg","123mg","1075mg","4.7mg","27mg","10.7mg","1.22mg","1.60μg","1.06mg","0.37mg","","—","—","—","—"
"315","36","甘薯(白心)[红皮山芋]","","","86%","72.6g","460kJ","1.4g","0.2g","","0.6g","25.2g","","220.0μg","","—","0.07mg","0.04mg","0.60mg","24.0mg","24mg","46mg","174mg","58.2mg","17mg","0.8mg","0.22mg","0.60μg","0.16mg","0.21mg","","—","—","—","—"
"316","36","甘薯(红心)[山芋，红薯]","","","90%","73.4g","446kJ","1.1g","0.2g","","0.6g","24.7g","","750.0μg","","—","0.04mg","0.04mg","0.60mg","26.0mg","23mg","39mg","130mg","28.5mg","12mg","0.5mg","0.15mg","0.50μg","0.18mg","0.11mg","","18.9%","29.3%","30.9%","79.1%"
"317","36","甘薯片[白薯干]","","","100%","12.1g","1478kJ","4.7g","0.8g","","1.9g","80.5g","","150.0μg","","—","0.15mg","0.11mg","1.10mg","9.0mg","112mg","115mg","353mg","26.4mg","102mg","3.7mg","0.35mg","2.60μg","0.50mg","1.14mg","","—","—","—","—"
"318","36","甘薯粉[地瓜粉]","","","100%","14.5g","1429kJ","2.7g","0.2g","","1.7g","80.9g","","20.0μg","","—","0.03mg","0.05mg","0.20mg","","33mg","12mg","66mg","26.4mg","102mg","10.0mg","0.29mg","2.60μg","0.05mg","0.33mg","","—","—","—","—"
"319","36","木薯","","","99%","69.0g","519kJ","2.1g","0.3g","","0.8g","27.8g","","","","—","0.21mg","0.09mg","1.20mg","35.0mg","88mg","50mg","764mg","8.0mg","66mg","2.5mg","","","","","","—","—","—","—"
"320","37","玉米淀粉","","","100%","13.5g","1469kJ","1.2g","0.1g","","0.2g","85.0g","","","","—","0.03mg","0.04mg","1.10mg","","18mg","25mg","8mg","6.3mg","6mg","4.0mg","0.09mg","0.70μg","0.07mg","0.05mg","","—","—","—","—"
"321","37","团粉[芡粉]","","","100%","12.6g","1484kJ","1.5g","","","0.1g","85.8g","","","","—","0.01mg","","0.20mg","","34mg","25mg","16mg","13.3mg","14mg","3.6mg","0.18mg","0.40μg","0.06mg","0.08mg","","—","—","—","—"
"322","37","藕粉","","","100%","6.4g","1584kJ","0.2g","","","0.4g","93.0g","","","","—","","0.01mg","0.40mg","","8mg","9mg","35mg","10.8mg","2mg","17.9mg","0.15mg","2.10μg","0.22mg","0.28mg","","—","—","—","—"
"323","37","魔芋精粉[鬼芋粉，南星粉]","","","100%","12.2g","1422kJ","4.6g","0.1g","","4.3g","78.8g","","","","—","","0.10mg","0.40mg","","45mg","272mg","299mg","49.9mg","66mg","1.6mg","2.05mg","350.20μg","0.17mg","0.88mg","","47.4%","23.1%","28.5%","99.0%"
"324","37","粉丝","","","100%","15.0g","1444kJ","0.8g","0.2g","","0.3g","83.7g","","","","—","0.03mg","0.02mg","0.40mg","","31mg","16mg","18mg","9.3mg","11mg","6.4mg","0.27mg","3.40μg","0.05mg","0.15mg","","—","—","—","—"
"325","37","粉条","","","100%","14.3g","1444kJ","0.5g","0.1g","","0.9g","84.2g","","","","—","0.01mg","","0.10mg","","35mg","23mg","18mg","9.6mg","11mg","5.2mg","0.83mg","2.20μg","0.18mg","0.16mg","","—","—","—","—"
"326","39","黄豆[大豆]","","","100%","10.2g","1768kJ","35.0g","16.0g","","4.6g","34.2g","","220.0μg","","—","0.41mg","0.20mg","2.10mg","","191mg","465mg","1503mg","2.2mg","199mg","8.2mg","3.34mg","6.20μg","1.35mg","2.26mg","","16.0%","23.4%","61.1%","100.5%"
"327","39","黑豆[黑大豆](干)","","","100%","9.9g","1772kJ","36.0g","15.9g","","4.6g","33.6g","","30.0μg","","—","0.20mg","0.33mg","2.00mg","","224mg","500mg","1377mg","3.0mg","243mg","7.0mg","4.18mg","6.80μg","1.56mg","2.83mg","","15.5%","28.0%","56.6%","100.1%"
"328","39","青豆[青大豆](干)","","","100%","9.5g","1780kJ","34.5g","16.0g","","4.6g","35.4g","","790.0μg","","—","0.41mg","0.18mg","3.00mg","","200mg","395mg","718mg","1.8mg","128mg","8.4mg","3.18mg","5.60μg","1.38mg","2.25mg","","18.9%","30.9%","50.4%","100.2%"
"329","39","黄豆粉","","","100%","6.7g","1872kJ","32.7g","18.3g","","4.7g","37.6g","","380.0μg","","—","0.31mg","0.22mg","2.50mg","","207mg","395mg","1890mg","3.6mg","129mg","8.1mg","3.89mg","2.50μg","1.39mg","2.00mg","","16.4%","21.7%","63.5%","101.6%"
"330","39","豆腐花[豆腐粉]","","","100%","1.6g","1699kJ","10.0g","2.6g","","1.5g","84.3g","","250.0μg","","—","0.02mg","0.03mg","0.40mg","","175mg","95mg","339mg","","60mg","3.3mg","0.75mg","1.70μg","0.28mg","0.52mg","","16.3%","23.0%","60.7%","100.0%"
"331","39","豆浆粉","","","100%","1.5g","1818kJ","19.7g","9.4g","","2.6g","66.8g","","","","—","0.07mg","0.05mg","0.70mg","","101mg","253mg","771mg","26.4mg","122mg","3.7mg","1.77mg","3.30μg","0.69mg","1.24mg","","14.1%","23.3%","59.9%","97.4%"
"332","39","豆粕","","","100%","11.5g","1445kJ","42.5g","2.1g","","6.0g","37.9g","","","","—","0.49mg","0.20mg","2.50mg","","154mg","28mg","1391mg","76.0mg","158mg","14.9mg","0.50mg","1.50μg","1.10mg","2.49mg","","—","—","—","—"
"333","39","豆腐(均值)","","","100%","82.8g","346kJ","8.1g","3.7g","","1.2g","4.2g","","","","—","0.04mg","0.03mg","0.20mg","","164mg","119mg","125mg","7.2mg","27mg","1.9mg","1.11mg","2.30μg","0.27mg","0.47mg","","15.1%","21.8%","60.7%","97.6%"
"334","39","豆腐(北)","","","100%","80.0g","419kJ","12.2g","4.8g","","1.0g","2.0g","","30.0μg","","—","0.05mg","0.03mg","0.30mg","","138mg","158mg","106mg","7.3mg","63mg","2.5mg","0.63mg","1.60μg","0.22mg","0.69mg","","15.1%","21.8%","60.7%","97.6%"
"335","39","豆腐(南)[南豆腐]","","","100%","87.9g","242kJ","6.2g","2.5g","","0.8g","2.6g","","","","—","0.02mg","0.04mg","1.00mg","","116mg","90mg","154mg","3.1mg","36mg","1.5mg","0.59mg","2.60μg","0.14mg","0.44mg","","15.1%","21.8%","60.7%","97.6%"
"336","39","豆腐(内酯)","","","100%","89.2g","211kJ","5.0g","1.9g","","0.6g","3.3g","","","","—","0.06mg","0.03mg","0.30mg","","17mg","57mg","95mg","6.4mg","24mg","0.8mg","0.55mg","0.80μg","0.13mg","0.26mg","","15.1%","21.8%","60.7%","97.6%"
"337","39","豆腐脑[老豆腐]","","","100%","96.7g","62kJ","1.9g","0.8g","","0.6g","Tr","","","","—","0.04mg","0.02mg","0.40mg","","18mg","5mg","107mg","2.8mg","28mg","0.9mg","0.49mg","","0.26mg","0.25mg","","15.1%","21.8%","60.7%","97.6%"
"338","39","豆浆","","","100%","96.4g","72kJ","1.8g","0.7g","","0.2g","0.9g","","90.0μg","","—","0.02mg","0.02mg","0.10mg","","10mg","30mg","48mg","3.0mg","9mg","0.5mg","0.24mg","0.10μg","0.07mg","0.09mg","","24.0%","21.1%","54.2%","99.3%"
"339","39","豆奶[豆乳]","","","100%","94.0g","127kJ","2.4g","1.5g","5mg","0.3g","1.8g","","","","—","0.02mg","0.06mg","0.30mg","","23mg","35mg","92mg","3.2mg","7mg","0.6mg","0.24mg","0.70μg","5.57mg","0.11mg","","11.6%","22.8%","61.7%","96.2%"
"340","39","豆汁(生)","","","100%","97.4g","43kJ","0.9g","0.1g","","0.2g","1.4g","","","","—","0.02mg","0.02mg","0.10mg","","8mg","21mg","47mg","6.5mg","6mg","0.4mg","0.11mg","0.20μg","0.05mg","","","—","—","—","—"
"341","39","豆腐丝","","","100%","58.4g","859kJ","21.5g","10.5g","","3.4g","6.2g","","30.0μg","","—","0.04mg","0.12mg","0.50mg","","204mg","220mg","74mg","20.6mg","127mg","9.1mg","2.04mg","1.40μg","0.29mg","1.71mg","","15.6%","21.3%","62.5%","99.4%"
"342","39","豆腐皮","","","100%","16.5g","1722kJ","44.6g","17.4g","","2.7g","18.8g","","","","—","0.31mg","0.11mg","1.50mg","","116mg","318mg","536mg","9.4mg","111mg","13.9mg","3.81mg","2.30μg","1.86mg","3.51mg","","16.3%","23.0%","60.7%","100.0%"
"343","39","油豆腐","","","100%","58.8g","1024kJ","17.0g","17.6g","","1.7g","4.9g","","30.0μg","","—","0.05mg","0.04mg","0.30mg","","147mg","238mg","158mg","32.5mg","72mg","5.2mg","2.03mg","0.60μg","0.30mg","1.38mg","","18.6%","18.1%","63.3%","100.0%"
"344","39","腐竹","","","100%","7.9g","1940kJ","44.6g","21.7g","","3.5g","22.3g","","","","—","0.13mg","0.07mg","0.80mg","","77mg","284mg","553mg","26.5mg","71mg","16.5mg","3.69mg","6.60μg","1.31mg","2.55mg","","14.8%","23.2%","61.3%","99.4%"
"345","39","千张[百页]","","","100%","52.0g","1102kJ","24.5g","16.0g","","2.0g","5.5g","","30.0μg","","—","0.04mg","0.05mg","0.20mg","","313mg","309mg","94mg","20.6mg","80mg","6.4mg","2.52mg","1.80μg","0.46mg","1.96mg","","16.3%","23.0%","60.7%","100.0%"
"346","39","豆腐干(均值)","","","100%","65.2g","604kJ","16.2g","3.6g","","3.5g","11.5g","","","","—","0.03mg","0.07mg","0.30mg","","308mg","273mg","140mg","76.5mg","64mg","4.9mg","1.76mg","0.00μg","0.77mg","1.31mg","","15.6%","21.3%","62.5%","99.4%"
"347","39","素鸡","","","100%","64.3g","814kJ","16.5g","12.5g","","2.5g","4.2g","","60.0μg","","—","0.02mg","0.03mg","0.40mg","","319mg","180mg","42mg","373.8mg","61mg","5.3mg","1.74mg","6.70μg","0.27mg","1.12mg","","14.9%","21.5%","64.4%","100.8%"
"348","39","素什锦","","","100%","65.3g","757kJ","14.0g","10.2g","","2.2g","8.3g","","","","—","0.07mg","0.04mg","0.50mg","","174mg","186mg","143mg","475.1mg","45mg","6.0mg","1.25mg","2.80μg","0.21mg","1.06mg","","—","—","—","—"
"349","39","烤麸","","","100%","68.6g","516kJ","20.4g","0.3g","","1.4g","9.3g","","","","—","0.04mg","0.05mg","1.20mg","","30mg","72mg","25mg","230.0mg","38mg","2.7mg","1.19mg","","0.25mg","0.73mg","","17.0%","17.6%","65.4%","100.0%"
"350","40","绿豆(干)","","","100%","12.3g","1451kJ","21.6g","0.8g","","3.3g","62.0g","","130.0μg","","—","0.25mg","0.11mg","2.00mg","","81mg","337mg","787mg","3.2mg","125mg","6.5mg","2.18mg","4.30μg","1.08mg","1.11mg","","32.0%","12.0%","55.0%","99.0%"
"351","41","赤小豆[小豆，红小豆](干)","","","100%","12.6g","1443kJ","20.2g","0.6g","","3.2g","63.4g","","80.0μg","","—","0.16mg","0.11mg","2.00mg","","74mg","305mg","860mg","2.2mg","138mg","7.4mg","2.20mg","3.80μg","0.64mg","1.33mg","","15.6%","15.4%","69.2%","100.2%"
"352","41","小豆粥","","","100%","84.4g","268kJ","1.2g","0.4g","","0.3g","13.7g","","","","—","","","0.20mg","","13mg","14mg","45mg","2.3mg","17mg","0.6mg","0.33mg","0.50μg","0.03mg","0.09mg","","—","—","—","—"
"353","41","豆沙","","","100%","39.2g","1060kJ","5.5g","1.9g","","0.7g","52.7g","","","","—","0.03mg","0.05mg","0.30mg","","42mg","68mg","139mg","23.5mg","2mg","8.0mg","0.32mg","0.90μg","0.13mg","0.33mg","","—","—","—","—"
"354","41","红豆沙","","","100%","37.9g","1051kJ","4.5g","0.1g","—","0.4g","57.1g","","—","0.0μg","—","0.02mg","0.02mg","—","Tr","19mg","65mg","21mg","26.3mg","7mg","1.1mg","0.60mg","0.40μg","0.06mg","0.22mg","—","—","—","—","—"
"355","41","红豆馅","","","100%","33.0g","1133kJ","4.5g","0.2g","—","0.6g","61.7g","","—","0.0μg","—","0.02mg","0.04mg","—","0.0mg","16mg","90mg","59mg","28.6mg","10mg","1.3mg","0.64mg","0.40μg","0.12mg","0.27mg","—","—","—","—","—"
